,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
14242,Anthony Bass,4 Seam Fastball,-0.173,1.399,L,2.0,1.0
14243,Anthony Bass,4 Seam Fastball,-1.239,1.3769999999999998,L,3.0,1.0
14244,Anthony Bass,Cutter,0.682,2.362,L,0.0,0.0
14245,Anthony Bass,4 Seam Fastball,-0.055,3.616,L,0.0,0.0
14246,Anthony Bass,4 Seam Fastball,0.42,2.356,R,0.0,0.0
14247,Anthony Bass,2 Seam Fastball,-0.5429999999999999,1.944,R,0.0,1.0
14248,Anthony Bass,Cutter,1.073,3.864,R,0.0,2.0
14249,Anthony Bass,Slider,0.889,1.492,R,1.0,2.0
14250,Anthony Bass,4 Seam Fastball,-0.516,2.822,R,1.0,2.0
14251,Anthony Bass,Slider,1.909,3.0210000000000004,R,1.0,2.0
14252,Anthony Bass,Slider,0.748,0.411,R,2.0,2.0
14253,Anthony Bass,Slider,-0.534,2.585,R,3.0,2.0
14254,Anthony Bass,4 Seam Fastball,-0.754,2.508,R,0.0,0.0
14267,Anthony Bass,4 Seam Fastball,0.302,3.965,R,0.0,0.0
14268,Anthony Bass,4 Seam Fastball,-0.24,3.278,R,1.0,0.0
14269,Anthony Bass,2 Seam Fastball,-1.398,2.782,R,1.0,1.0
14270,Anthony Bass,4 Seam Fastball,0.07400000000000001,3.406,R,2.0,1.0
14271,Anthony Bass,4 Seam Fastball,-0.501,3.424,L,0.0,0.0
14272,Anthony Bass,Changeup,-0.215,2.044,L,0.0,1.0
14273,Anthony Bass,4 Seam Fastball,-0.14300000000000002,3.976,L,0.0,2.0
14274,Anthony Bass,Changeup,-2.014,2.82,L,1.0,2.0
14275,Anthony Bass,Changeup,0.706,0.696,L,2.0,2.0
14276,Anthony Bass,4 Seam Fastball,0.393,2.88,L,3.0,2.0
14277,Anthony Bass,Slider,-0.015,2.81,R,0.0,0.0
14278,Anthony Bass,2 Seam Fastball,-0.062,3.573,R,0.0,1.0
14279,Anthony Bass,4 Seam Fastball,0.49,2.73,R,1.0,1.0
14280,Anthony Bass,2 Seam Fastball,-1.321,2.8080000000000003,R,0.0,0.0
15037,Tommy Milone,4 Seam Fastball,-0.807,0.875,L,0.0,0.0
15038,Tommy Milone,4 Seam Fastball,-1.147,1.15,L,1.0,0.0
15039,Tommy Milone,4 Seam Fastball,-0.315,2.806,L,2.0,0.0
15040,Tommy Milone,4 Seam Fastball,-0.289,2.129,L,2.0,1.0
15041,Tommy Milone,4 Seam Fastball,-1.244,1.104,L,2.0,2.0
15042,Tommy Milone,4 Seam Fastball,-0.6629999999999999,2.447,L,3.0,2.0
15043,Tommy Milone,4 Seam Fastball,0.235,1.778,R,0.0,0.0
15044,Tommy Milone,4 Seam Fastball,-0.931,2.899,R,0.0,1.0
15045,Tommy Milone,4 Seam Fastball,-0.211,2.01,R,0.0,0.0
15046,Tommy Milone,4 Seam Fastball,-0.825,3.151,R,0.0,1.0
15047,Tommy Milone,4 Seam Fastball,-1.063,1.812,R,1.0,1.0
15048,Tommy Milone,4 Seam Fastball,-1.286,2.954,R,2.0,1.0
15049,Tommy Milone,4 Seam Fastball,-1.227,2.641,R,3.0,1.0
15050,Tommy Milone,4 Seam Fastball,-1.167,1.692,R,0.0,0.0
15051,Tommy Milone,Changeup,-0.345,-0.195,R,1.0,0.0
15052,Tommy Milone,2 Seam Fastball,1.403,2.091,R,2.0,0.0
15053,Tommy Milone,4 Seam Fastball,0.431,2.589,R,3.0,0.0
15054,Tommy Milone,Changeup,-0.433,0.521,R,3.0,1.0
15055,Tommy Milone,Changeup,0.445,0.434,R,3.0,2.0
15056,Tommy Milone,4 Seam Fastball,-0.8490000000000001,1.011,L,0.0,0.0
15057,Tommy Milone,4 Seam Fastball,-0.55,2.278,L,1.0,0.0
15058,Tommy Milone,4 Seam Fastball,-0.758,1.101,L,1.0,1.0
15059,Tommy Milone,4 Seam Fastball,-0.7879999999999999,1.384,L,2.0,1.0
15060,Tommy Milone,4 Seam Fastball,-1.658,1.95,L,2.0,2.0
15061,Tommy Milone,4 Seam Fastball,-0.075,1.44,L,3.0,2.0
15087,Tommy Milone,4 Seam Fastball,0.55,1.505,R,0.0,0.0
15088,Tommy Milone,4 Seam Fastball,-0.237,2.012,R,0.0,1.0
15089,Tommy Milone,2 Seam Fastball,0.7559999999999999,2.3680000000000003,R,0.0,0.0
15090,Tommy Milone,4 Seam Fastball,-0.787,2.638,R,0.0,1.0
15091,Tommy Milone,Changeup,1.115,1.609,R,0.0,2.0
15092,Tommy Milone,4 Seam Fastball,-0.406,1.891,R,0.0,0.0
15093,Tommy Milone,4 Seam Fastball,-0.435,2.324,R,0.0,1.0
15094,Tommy Milone,4 Seam Fastball,0.532,5.03,R,0.0,2.0
15095,Tommy Milone,Changeup,0.787,1.6030000000000002,R,1.0,2.0
15110,Tommy Milone,4 Seam Fastball,-0.142,2.083,L,0.0,0.0
15111,Tommy Milone,4 Seam Fastball,-0.15,2.207,L,0.0,0.0
15112,Tommy Milone,4 Seam Fastball,0.97,2.499,L,0.0,1.0
15113,Tommy Milone,4 Seam Fastball,1.08,2.319,L,0.0,2.0
