,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
980255,Daniel Hudson,4 Seam Fastball,1.356,2.459,L,0.0,0.0
980256,Daniel Hudson,Changeup,0.299,0.924,L,1.0,0.0
980257,Daniel Hudson,Changeup,0.028,1.767,L,2.0,0.0
980258,Daniel Hudson,4 Seam Fastball,1.849,1.849,L,2.0,1.0
980259,Daniel Hudson,4 Seam Fastball,1.486,1.015,L,3.0,1.0
980260,Daniel Hudson,4 Seam Fastball,-0.237,0.902,L,0.0,0.0
980261,Daniel Hudson,Changeup,0.303,1.16,L,1.0,0.0
980262,Daniel Hudson,Changeup,0.266,1.4169999999999998,L,2.0,0.0
980263,Daniel Hudson,Slider,1.031,1.485,L,2.0,1.0
980264,Daniel Hudson,4 Seam Fastball,0.424,3.863,L,3.0,1.0
980925,Derek Law,Slider,0.599,2.942,R,0.0,0.0
980926,Derek Law,Curveball,1.504,-0.402,R,0.0,1.0
980927,Derek Law,Curveball,0.232,1.139,R,1.0,1.0
980928,Derek Law,4 Seam Fastball,1.037,2.536,R,2.0,1.0
980929,Derek Law,4 Seam Fastball,0.654,2.684,R,2.0,2.0
980950,Derek Law,4 Seam Fastball,0.07,2.105,R,0.0,0.0
980951,Derek Law,Slider,-0.268,1.852,R,0.0,1.0
980952,Derek Law,4 Seam Fastball,0.05,2.79,R,0.0,0.0
980953,Derek Law,4 Seam Fastball,-1.426,3.772,R,0.0,1.0
980954,Derek Law,4 Seam Fastball,0.071,3.465,R,1.0,1.0
980955,Derek Law,Curveball,-1.0,2.2,R,1.0,2.0
980956,Derek Law,4 Seam Fastball,-0.001,3.053,R,1.0,2.0
980957,Derek Law,Slider,-0.161,2.231,R,0.0,0.0
980958,Derek Law,Curveball,0.28600000000000003,2.05,R,0.0,0.0
980959,Derek Law,4 Seam Fastball,-0.425,3.189,R,0.0,1.0
980960,Derek Law,4 Seam Fastball,1.578,2.228,R,0.0,2.0
980961,Derek Law,4 Seam Fastball,-0.942,2.42,R,1.0,2.0
981478,Joe Biagini,4 Seam Fastball,-0.146,0.949,L,0.0,0.0
981479,Joe Biagini,4 Seam Fastball,-0.244,2.986,L,1.0,0.0
981480,Joe Biagini,4 Seam Fastball,0.482,0.965,L,1.0,1.0
981481,Joe Biagini,4 Seam Fastball,-0.5589999999999999,1.379,L,2.0,1.0
981482,Joe Biagini,4 Seam Fastball,1.111,2.025,L,2.0,2.0
981483,Joe Biagini,4 Seam Fastball,0.046,1.097,L,3.0,2.0
981484,Joe Biagini,4 Seam Fastball,-0.595,0.328,R,0.0,0.0
981485,Joe Biagini,4 Seam Fastball,1.164,1.685,R,1.0,0.0
981486,Joe Biagini,4 Seam Fastball,-0.135,2.7910000000000004,R,2.0,0.0
983542,Ken Giles,Slider,-0.452,2.249,R,0.0,0.0
983543,Ken Giles,4 Seam Fastball,-0.6679999999999999,3.699,R,0.0,1.0
983544,Ken Giles,Slider,1.589,0.807,R,0.0,2.0
985057,Marcus Stroman,2 Seam Fastball,-0.327,3.037,L,0.0,0.0
985058,Marcus Stroman,2 Seam Fastball,0.377,2.829,L,0.0,1.0
985059,Marcus Stroman,2 Seam Fastball,-0.3,2.386,L,0.0,0.0
985060,Marcus Stroman,2 Seam Fastball,-0.237,2.591,L,0.0,0.0
985061,Marcus Stroman,4 Seam Fastball,0.713,3.841,L,0.0,1.0
985062,Marcus Stroman,2 Seam Fastball,0.8759999999999999,2.8560000000000003,L,1.0,1.0
985063,Marcus Stroman,Curveball,-0.398,2.004,L,1.0,2.0
985089,Marcus Stroman,2 Seam Fastball,0.227,2.256,R,0.0,0.0
985090,Marcus Stroman,Curveball,-0.5539999999999999,1.413,R,0.0,1.0
985091,Marcus Stroman,Cutter,0.8590000000000001,3.018,R,1.0,1.0
985092,Marcus Stroman,Cutter,1.2990000000000002,2.375,R,1.0,2.0
985093,Marcus Stroman,2 Seam Fastball,1.183,2.125,L,0.0,0.0
985094,Marcus Stroman,2 Seam Fastball,-0.644,2.439,L,1.0,0.0
985095,Marcus Stroman,Curveball,-0.735,1.602,L,1.0,1.0
985096,Marcus Stroman,Slider,1.18,1.855,L,1.0,2.0
985097,Marcus Stroman,Slider,0.575,1.098,L,2.0,2.0
985098,Marcus Stroman,2 Seam Fastball,0.404,1.167,R,0.0,0.0
985099,Marcus Stroman,2 Seam Fastball,0.415,2.109,R,1.0,0.0
985100,Marcus Stroman,4 Seam Fastball,0.853,1.365,R,1.0,1.0
985101,Marcus Stroman,Cutter,1.378,1.713,R,2.0,1.0
985102,Marcus Stroman,Slider,-0.138,1.644,R,3.0,1.0
985124,Marcus Stroman,2 Seam Fastball,-0.336,2.665,L,0.0,0.0
985125,Marcus Stroman,Cutter,0.586,1.474,L,0.0,1.0
985126,Marcus Stroman,Curveball,-0.418,1.779,L,1.0,1.0
985127,Marcus Stroman,Slider,0.632,0.6829999999999999,L,1.0,2.0
985128,Marcus Stroman,Curveball,-0.7759999999999999,1.565,L,2.0,2.0
985129,Marcus Stroman,4 Seam Fastball,-0.28800000000000003,3.324,L,0.0,0.0
985130,Marcus Stroman,Slider,0.303,1.099,L,0.0,1.0
985131,Marcus Stroman,4 Seam Fastball,0.063,2.515,L,1.0,1.0
985132,Marcus Stroman,4 Seam Fastball,1.19,2.171,R,0.0,0.0
985133,Marcus Stroman,Slider,0.071,2.986,R,1.0,0.0
985134,Marcus Stroman,2 Seam Fastball,0.134,1.295,R,1.0,1.0
985135,Marcus Stroman,Curveball,-0.933,1.068,R,2.0,1.0
985136,Marcus Stroman,2 Seam Fastball,0.609,1.826,R,3.0,1.0
985137,Marcus Stroman,2 Seam Fastball,0.742,1.709,R,3.0,2.0
985138,Marcus Stroman,2 Seam Fastball,0.421,2.044,L,0.0,0.0
985139,Marcus Stroman,Slider,0.343,1.77,L,0.0,1.0
985140,Marcus Stroman,Curveball,0.35200000000000004,0.594,L,0.0,2.0
985141,Marcus Stroman,2 Seam Fastball,1.826,1.4280000000000002,L,0.0,2.0
985175,Marcus Stroman,2 Seam Fastball,-0.374,2.399,L,0.0,0.0
985176,Marcus Stroman,Slider,0.373,1.3019999999999998,L,0.0,1.0
985177,Marcus Stroman,4 Seam Fastball,-0.091,2.704,L,0.0,2.0
985178,Marcus Stroman,2 Seam Fastball,-1.239,1.973,L,0.0,0.0
