,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
18309,David Price,FT,0.34700000000000003,2.397,R,0.0,0.0
18310,David Price,CH,1.347,2.357,R,0.0,1.0
18311,David Price,FF,2.467,3.105,R,0.0,2.0
18312,David Price,FC,1.826,3.022,R,1.0,2.0
18313,David Price,FF,0.307,3.842,R,2.0,2.0
18314,David Price,FT,-0.048,3.108,R,0.0,0.0
18315,David Price,FF,1.359,3.192,R,0.0,1.0
18316,David Price,FT,0.6759999999999999,3.593,R,1.0,1.0
18317,David Price,FC,1.7080000000000002,2.819,R,1.0,2.0
18318,David Price,FF,0.47,3.382,R,2.0,2.0
18319,David Price,CH,1.933,2.817,R,0.0,0.0
18320,David Price,CH,0.599,2.259,R,1.0,0.0
18321,David Price,FF,0.35600000000000004,3.011,R,1.0,1.0
18322,David Price,FF,1.665,1.594,R,1.0,2.0
18323,David Price,FF,0.404,2.571,R,2.0,2.0
18341,David Price,FT,0.116,2.208,R,0.0,0.0
18342,David Price,FT,2.562,2.649,R,0.0,1.0
18343,David Price,CH,-0.002,0.368,R,1.0,1.0
18344,David Price,FT,-0.048,1.7380000000000002,R,2.0,1.0
18345,David Price,FT,-0.831,1.426,R,2.0,2.0
18346,David Price,FT,0.875,1.568,R,3.0,2.0
18347,David Price,FT,0.003,1.494,R,3.0,2.0
18348,David Price,FT,0.159,2.786,L,0.0,0.0
18349,David Price,FT,-0.22,2.946,R,0.0,0.0
18350,David Price,FF,0.378,1.977,R,0.0,1.0
18351,David Price,FF,1.126,2.456,R,0.0,2.0
18352,David Price,KC,0.602,1.564,L,0.0,0.0
18353,David Price,FF,-0.21,2.497,L,1.0,0.0
18372,David Price,CH,0.476,1.829,R,0.0,0.0
18373,David Price,CH,-0.131,1.167,R,0.0,1.0
18374,David Price,CH,-0.8490000000000001,0.696,R,1.0,1.0
18375,David Price,CH,1.175,3.277,R,2.0,1.0
18376,David Price,FT,-0.122,3.375,R,3.0,1.0
18377,David Price,FT,0.43,2.272,L,0.0,0.0
18378,David Price,FC,-0.433,3.518,L,0.0,1.0
18379,David Price,FF,-0.528,1.176,L,1.0,1.0
18380,David Price,FF,1.04,3.663,L,2.0,1.0
18381,David Price,FF,0.179,1.894,L,2.0,2.0
18382,David Price,CH,0.871,2.052,R,0.0,0.0
18383,David Price,FT,1.795,3.454,R,0.0,1.0
18384,David Price,FT,-0.158,1.987,R,1.0,1.0
18385,David Price,FT,1.259,2.7510000000000003,R,1.0,2.0
18386,David Price,FC,-0.085,0.959,R,1.0,2.0
18387,David Price,CH,-0.281,0.731,R,2.0,2.0
18388,David Price,FT,-1.169,1.26,R,3.0,2.0
18389,David Price,CH,0.472,2.097,R,0.0,0.0
18390,David Price,CH,1.4269999999999998,1.924,R,0.0,1.0
18391,David Price,CH,0.404,1.741,R,0.0,0.0
18392,David Price,CH,0.742,1.779,R,0.0,1.0
18393,David Price,FT,-0.111,3.248,R,0.0,0.0
18394,David Price,FT,1.409,3.216,R,0.0,1.0
18395,David Price,FT,0.495,2.5,R,1.0,1.0
18396,David Price,FT,0.507,2.439,R,1.0,2.0
23801,Chris Sale,FT,-0.083,3.108,R,0.0,0.0
23802,Chris Sale,FT,0.062,1.933,R,0.0,1.0
23803,Chris Sale,FT,-0.999,1.406,R,0.0,0.0
23804,Chris Sale,FT,1.128,2.5980000000000003,R,1.0,0.0
23805,Chris Sale,FT,0.448,3.579,R,1.0,1.0
23806,Chris Sale,CH,1.041,1.31,R,1.0,2.0
23807,Chris Sale,FT,-1.187,1.543,L,0.0,0.0
23808,Chris Sale,FT,0.426,2.0,L,1.0,0.0
23809,Chris Sale,CH,-0.244,1.827,L,1.0,1.0
23810,Chris Sale,FT,0.997,1.477,R,0.0,0.0
23811,Chris Sale,FT,0.42,3.743,R,0.0,1.0
23812,Chris Sale,FT,-0.011,3.93,R,0.0,2.0
23843,Chris Sale,FT,-0.785,1.719,R,0.0,0.0
23844,Chris Sale,FT,-0.474,2.705,R,0.0,1.0
23845,Chris Sale,CH,0.904,0.9,R,0.0,2.0
23846,Chris Sale,CH,0.866,1.6269999999999998,R,1.0,2.0
23847,Chris Sale,FT,-0.486,2.387,R,0.0,0.0
23848,Chris Sale,FT,0.5760000000000001,2.584,R,0.0,1.0
